Driver_ID,Distance_Feature,Speeding_Feature
3423311935,71.24,28.0
3423313212,52.53,25.0
3423313724,64.54,27.0
3423311373,55.69,22.0
3423310999,54.58,25.0
3423313857,41.91,10.0
3423312432,58.64,20.0
3423311434,52.02,8.0
3423311328,31.25,34.0
3423312488,44.31,19.0
3423311254,49.35,40.0
3423312943,58.07,45.0
3423312536,44.22,22.0
3423311542,55.73,19.0
3423312176,46.63,43.0
3423314176,52.97,32.0
3423314202,46.25,35.0
3423311346,51.55,27.0
3423310666,57.05,26.0
3423313527,58.45,30.0
3423312182,43.42,23.0
3423313590,55.68,37.0
3423312268,55.15,18.0
